"clan","name","gender","words"
"Riverclan","Appledusk","Male","Appledusk is a broad-shouldered, soft, thick, and glossy-furred, pale brown tom with pale, holly-green eyes"
"Riverclan","Applefrost","Uknown","Applefrost is a light brown cat"
"Riverclan","Aspentail","Female","Aspentail is an almost black she-cat with fur the color of floodwater. She has a very long tail and streaks of pale gray fur"
"Riverclan","Beechfur","Male","Beechfur is a light brown tom"
"Riverclan","Beetlenose","Male","Beetlenose is a broad-shouldered tom with crow-black fur"
"Riverclan","Beetlewhisker","Male","Beetlewhisker is a brown-and-white tabby tom"
"Riverclan","Birchstar","Female","Birchstar is a light brown tabby she-cat"
"Riverclan","Birdsong","Female","Birdsong is a tabby-and-white she-cat with a white belly, ginger patches around her gray-flecked muzzle and amber eyes"
"Riverclan","Blackbee","Female","No Description"
"Riverclan","Blackclaw","Male","Blackclaw is a lean, muscular, broad-shouldered smoky-black tom. He has a long tail, long legs, orange eyes, and a torn ear-tip"
"Riverclan","Brackenpelt","Female","Brackenpelt is a tortoiseshell she-cat with a shredded ear"
"Riverclan","Brambleberry","Female","Brambleberry is a small, lithe, snowy-white she-cat with black spots and blue eyes. She has a strikingly pink nose"
"Riverclan","Breezeheart","Female","Breezeheart is a brown-and-white she-cat"
"Riverclan","Brightsky","Female","Brightsky is a lithe, white-and-ginger she-cat with glossy fur"
"Riverclan","Brindleclaw","Female","Brindleclaw is a tortoiseshell she-cat with sleek, thick fur"
"Riverclan","Cedarpelt","Male","Cedarpelt is a graying, stout, large, mottled brown tabby tom with a short tail"
"Riverclan","Cloudberry","Female","Cloudberry is a slender, thick-furred, dark gray she-cat with blue eyes"
"Riverclan","Copperpaw","Female","Copperpaw is a dark ginger she-cat"
"Riverclan","Crookedstar","Male","Crookedstar is a huge, light brown tabby tom with green eyes and a twisted jaw"
"Riverclan","Curlfeather","Female","Curlfeather is a pale brown she-cat with soft fur"
"Riverclan","Cypresspaw","Female","Cypresspaw is a brown-and-white she-cat with hazel eyes"
"Riverclan","Dapplenose","Female","Dapplenose is a mottled gray she-cat with blue eyes"
"Riverclan","Dappletuft","Male","Dappletuft is a gray-and-white tom with blue eyes and a scarred chest"
"Riverclan","Darkstar","Female","Darkstar is a small brown she-cat"
"Riverclan","Darkstar","Female","Darkstar is a black she-cat"
"Riverclan","Dawnbright","Female","Dawnbright is a ginger-and-white she-cat"
"Riverclan","Dawnflower","Female","Dawnflower is a very pale gray she-cat"
"Riverclan","Dovestar","Unknown","No Description"
"Riverclan","Duckpaw","Female","No Description"
"Riverclan","Duskfur","Female","Duskfur is a small brown tabby she-cat with a torn ear"
"Riverclan","Duskwater","Female","Duskwater is a blue-gray she-cat with a white belly and chest"
"Riverclan","Echomist","Female","Echomist is a glossy, long-haired pale gray she-cat. Her fur is tipped with white, giving her a soft, cloudy appearance"
"Riverclan","Echosnout","Female","Echosnout is a black-and-white she-cat"
"Riverclan","Eeltail","Male","No Description"
"Riverclan","Eeltail","Female","Eeltail is a gray-and-black tabby she-cat"
"Riverclan","Emberdawn","Female","Emberdawn is a dark ginger she-cat"
"Riverclan","Emberstar","Male","No Description"
"Riverclan","Fallowtail","Female","Fallowtail is a light brown she-cat with soft fur and blue eyes"
"Riverclan","Fernleaf","Unknown","No Description"
"Riverclan","Fognose","Female","Fognose is a gray and white she-cat"
"Riverclan","Foxclaw","Male","Foxclaw is a russet-colored tom"
"Riverclan","Foxnose","Male","Foxnose is a russet tabby tom"
"Riverclan","Foxwhisker","Male","Foxwhisker is a ginger tom"
"Riverclan","Frogleap","Male","Frogleap is a muscular gray tom with a striped tail, a broad head, and amber eyes"
"Riverclan","Frostpaw","Female","Frostpaw is a light gray she-cat with darker parts, ears and green eyes"
"Riverclan","Gorseclaw","Male","Gorseclaw is a white tom with gray ears"
"Riverclan","Grasspelt","Male","Grasspelt is a light brown tom"
"Riverclan","Grasswhisker","Female","Grasswhisker is a brown tabby she-cat"
"Riverclan","Graymist","Female","Graymist is a pale gray tabby she-cat"
"Riverclan","Graypaw","Male","Graypaw is a silver tabby tom"
"Riverclan","Graypool","Female","Graypool is a dark gray she-cat with yellow eyes"
"Riverclan","Graywing","Female","No Description"
"Riverclan","Greenflower","Female","Greenflower is a plump, brown-striped she-cat with a white splash under her chin, one white hind paw, and green eyes"
"Riverclan","Hailstar","Male","Hailstar is a huge gray tom with thick, sleek fur, a wide head, broad shoulders, and yellow eyes"
"Riverclan","Harelight","Male","Harelight is a white tom with a long tail"
"Riverclan","Havenpelt","Female","Havenpelt is a black-and-white she-cat"
"Riverclan","Hayberry","Female","No Description"
"Riverclan","Heavystep","Male","Heavystep is a big and thickset, broad-shouldered brown tabby tom with yellow eyes"
"Riverclan","Heronwing","Male","Heronwing is a dark gray-and-black tom"
"Riverclan","Hollowflight","Male","Hollowflight is a dark brown tabby tom with a sleek, pale-furred belly"
"Riverclan","Icewhisker","Male","Icewhisker is a silver-gray tom"
"Riverclan","Icewing","Female","Icewing is a lightly-built, pure white she-cat with blue eyes"
"Riverclan","Ivystar","Female","No Description"
"Riverclan","Ivytail","Female","Ivytail is a brown tabby she-cat"
"Riverclan","Jayclaw","Male","Jayclaw is a gray tom"
"Riverclan","Kinktail","Female","Kinktail is a she-cat with a crushed tail"
"Riverclan","Lakeheart","Female","Lakeheart is a gray tabby she-cat"
"Riverclan","Lakeshine","Female","Lakeshine is a mottled, long-haired gray-and-white she-cat"
"Riverclan","Leopardstar","Female","Leopardstar is adappled golden tabby she-cat with amber eyes"
"Riverclan","Lightningpaw","Male","No Description"
